Word	uniqueID	Example image	Bigram	Percent_known	Rank (combining COCA/concreteness)	Concreteness (M)	COCA word freq (online)	COCA word freq	COCA (dispersion)	COCA (rank)	BNC freq	SUBTLEX freq	Dominant Part of Speech	Bottom-up Category (Human Raters)	Top-down Category (WordNet)	Top-down Category (manual selection)	All Bottom-up Categories	WordNet Synonyms	WordNet ID	Wordnet ID2	Wordnet ID3	Wordnet ID4	"Definition (from WordNet, Google, or Wikipedia)"	Number of word meanings in list
banner	banner	https://imgur.com/Twxrwd3	0	1	4915	4.8	3998	4292	0.96	5393	571	302	Noun		decoration		sign	"banner, streamer"	n02788021	banner%1:06:00::	banner#1	banner.n.01	long strip of cloth or paper used for decoration or advertising	1
barbed wire	barbed_wire	https://imgur.com/MEgRUp4	1	1	17962	4.72	1210					0	#N/A				fencing	"barbed_wire, barbwire"	n02790823	barbed_wire%1:06:00::	barbed_wire#1	barbed_wire.n.01	strong wire with barbs at regular intervals used to prevent passage	1
barbell	barbell	https://imgur.com/ax6avte	0	1	11444.5	4.79	368	376	0.82	21428		18	Noun		sports equipment	sports equipment	exercise equipment	barbell	n02790996	barbell%1:06:00::	barbell#1	barbell.n.01	a bar to which heavy discs are attached at each end; used in weightlifting	1
barcode	barcode	https://imgur.com/JCDuJuY	0	0.96	16163.5	4.74	76					0	#N/A				product identification	"bar_code, Universal_Product_Code"	n06354774	bar_code%1:10:00::	bar_code#1	bar_code.n.01	code consisting of a series of vertical bars of variable width that are scanned by a laser; printed on consumer product packages to identify the item for a computer that provides the price and registers inventory information	1
bark	bark	https://imgur.com/9O7GmTi	0	1	8248.5	4.52	3513	2973	0.92	6832	596	280	Noun				part of tree	bark	n13162297	bark%1:20:00::	bark#1	bark.n.01	tough protective covering of the woody stems and roots of trees and other woody plants	1
barnacle	barnacle	https://imgur.com/WoKRuW7	0	0.96	11369.5	4.92	117	253	0.89	24436		32	Noun		animal	animal	"sea life, sea creature"	"barnacle, cirriped, cirripede"	n01998183	barnacle%1:05:01::	barnacle#1	barnacle.n.01	marine crustaceans with feathery food-catching appendages; free-swimming as larvae; as adults form a hard shell and live attached to submerged surfaces	1
barrel	barrel	https://imgur.com/VLbLuE4	0	1	3073.5	4.86	8461	9951	0.94	3103	879	542	Noun	container		container	container	"barrel, drum"	n13901211	barrel%1:25:00::	barrel#3	barrel.n.03	a bulging cylindrical shape; hollow with flat ends	1
barrette	barrette	https://imgur.com/FqqqjJs	0	0.93	18548	4.12	182	219	0.82	26605		8	Noun				hair accessory	barrette	n02796318	barrette%1:06:00::	barrette#1	barrette.n.01	a pin for holding women's hair in place	1
baseball	baseball	https://imgur.com/6jEioHB	0	1	2148.5	4.86	35018	28551	0.92	1377	423	1288	Noun	sports equipment	sports equipment	sports equipment	sports equipment	baseball	n02799071	baseball%1:06:00::	baseball#2	baseball.n.02	a ball used in playing baseball	1
baseball bat	baseball_bat	https://imgur.com/gQrE136	1	1	7197	5	726					0	#N/A	sports equipment	sports equipment	"weapon, sports equipment"	sports equipment	"baseball_bat, lumber"	n02799175	baseball_bat%1:06:00::	baseball_bat#1	baseball_bat.n.01	an implement used in baseball by the batter	1
baseball glove	baseball_glove	https://imgur.com/m6ZcH3Y	1	1	14219.5	4.89	92					0	#N/A	sports equipment	sports equipment	sports equipment	sports equipment	"baseball_glove, glove, baseball_mitt, mitt"	n02800213	baseball_glove%1:06:00::	baseball_glove#1	baseball_glove.n.01	the handwear used by fielders in playing baseball	1
basil	basil	https://imgur.com/ET5hAyd	0	1	6211.5	4.76	5640	2725	0.86	7513	798	69	Name		plant	"plant, food"	herb	basil	n12860365	basil%1:20:00::	basil#1	basil.n.01	any of several Old World tropical aromatic annual or perennial herbs of the genus Ocimum	1
basket	basket	https://imgur.com/gwylEKZ	0	1	1757.5	5	8150	9316	0.94	3276	1351	672	Noun	container	container	container	container	"basket, handbasket"	n02801938	basket%1:06:00::	basket#1	basket.n.01	a container that is usually woven and has handles	1
basketball	basketball	https://imgur.com/3bnC4zK	0	1	1153.5	4.97	26032	20955	0.91	1809		1091	Noun	sports equipment	sports equipment	sports equipment	sports equipment	basketball	n02802426	basketball%1:06:00::	basketball#2	basketball.n.02	an inflated ball used in playing basketball	1
basketball hoop	basketball_hoop	https://imgur.com/ejw4yXC	1	1	13570	4.97	82					0	#N/A	sports equipment	sports equipment	sports equipment	sports equipment	"basket, basketball_hoop, hoop"	n02802215	basket%1:06:01::	basket#3	basket.n.03	horizontal circular metal hoop supporting a net through which players try to throw the basketball	1
bassinet	bassinet	https://imgur.com/DS3wW5E	0	0.93	15088.5	4.71	177	145	0.85	30506		18	Noun		furniture	furniture	"baby furniture, baby bed"	bassinet	n02804414	bassinet%1:06:00::	bassinet#1	bassinet.n.01	a basket (usually hooded) used as a baby's bed	1
bassoon	bassoon	https://imgur.com/mIB4u21	0	0.89	16488	4.67	110	94	0.83	35247	89	16	Noun	musical instrument	musical instrument	musical instrument	musical instrument	bassoon	n02804610	bassoon%1:06:00::	bassoon#1	bassoon.n.01	a double-reed instrument; the tenor of the oboe family	1
bat	bat1	https://imgur.com/mblCd1l	0	1	2005	5	7119	7694	0.94	3720	1092	1052	Noun	animal	animal	animal	animal	"bat, chiropteran"	n02139199	bat%1:05:00::	bat#1	bat.n.01	nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate	2
bat	bat2	https://imgur.com/OAognZp	0	1	2005	5	7119	7694	0.94	3720	1092	1052	Noun	sports equipment		"weapon, sports equipment"	sports equipment	bat	n02806379	bat%1:06:00::	bat#5	bat.n.05	a club used for hitting a ball in various games	2
bathmat	bathmat	https://imgur.com/r9kbp73	0	1	17201	4.81	17					13	Noun				"bathroom accessory, rug"	bath_mat	n02807401	bath_mat%1:06:00::	bath_mat#1	bath_mat.n.01	a heavy towel or mat to stand on while drying yourself after a bath	1
bathrobe	bathrobe	https://imgur.com/XlRVsfl	0	1	6527.5	5	1040	907	0.85	14013	41	85	Noun	clothing	clothing	clothing	"clothing, bathroom clothing"	bathrobe	n02807616	bathrobe%1:06:00::	bathrobe#1	bathrobe.n.01	a loose-fitting robe of towelling; worn after a bath or swim	1
bathtub	bathtub	https://imgur.com/68rEPVj	0	1	5848	4.92	2082	1553	0.92	9987	27	311	Noun		container	container	bathroom fixture	"bathtub, bathing_tub, bath, tub"	n02808440	bathtub%1:06:00::	bathtub#1	bathtub.n.01	a relatively large open container that you fill with water and use to wash the body	1
baton	baton1	https://imgur.com/1noqsTN	0	1	9864.5	4.64	2787	1012	0.93	12682	212	145	Noun				musical equipment	"baton, wand"	n02809364	baton%1:06:00::	baton#1	baton.n.01	a thin tapered rod used by a conductor to lead an orchestra or choir	4
baton	baton2	https://imgur.com/dqt1qrN	0	1	9864.5	4.64	2787	1012			212	145	Noun	weapon		weapon	weapon	"truncheon, nightstick, baton, billy, billystick, billy_club"	n04491388	baton%1:06:04::	baton#2	baton.n.02	a short stout club used primarily by policemen	4
baton	baton3	https://imgur.com/Oy3K6YD	0	1	9864.5	4.64	2787	1012	0.93	12682	212	145	Noun	sports equipment		sports equipment	sports equipment	baton	n02809605	baton%1:06:02::	baton#4	baton.n.04	a hollow metal rod that is wielded or twirled by a drum major or drum majorette	4
baton	baton4	https://imgur.com/fkiyZkX	0	1	9864.5	4.64	2787	1012	0.93	12682	212	145	Noun	sports equipment		sports equipment	sports equipment	baton	n02809491	baton%1:06:01::	baton#5	baton.n.05	a hollow cylinder passed from runner to runner in a relay race	4
batter	batter	https://imgur.com/ddoG6Sx	0	1	9365.5	4.41	3649	2695	0.89	7419	156	203	Noun	food	food	food	food	batter	n07860805	batter%1:13:00::	batter#2	batter.n.02	"a liquid or semiliquid mixture, as of flour, eggs, and milk, used in cooking"	1
battery	battery	https://imgur.com/ZEvr8Jn	0	1	5082	4.67	9388	9793	0.92	3214		633	Noun				power source	"battery, electric_battery"	n02810471	battery%1:06:00::	battery#2	battery.n.02	a device that produces electricity; may have several primary or secondary cells arranged in parallel or series	1
